program,category,sector,upcs,gtins,mpns,product_name,company_name,city,state,partner_since,fragrance_free,outdoor_use,company_in_good_standing,product_url
DfE,Consumer Product,All-Purpose Cleaners,19200850179,,,Lysol Brand Kills 99.9% of Viruses & Bacteria** Power & Free Multi-purpose Cleaner with Hydrogen Peroxide Citrus Sparkle Scent,Reckitt Benckiser LLC,Parsippany,New Jersey,2009,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=777-126
DfE,Consumer Product,All-Purpose Cleaners,19200892896,,,Lysol Brand Kills 99.9% of Viruses & Bacteria** Power & Free Multi-purpose Cleaner with Hydrogen Peroxide Citrus Sparkle Scent,Reckitt Benckiser LLC,Parsippany,New Jersey,2009,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=777-126
DfE,Consumer Product,All-Purpose Cleaners,19200996532,,,Pet Mess Disinfecting Cleaner Citrus Blossom Scent Lysol Brand Kills 99.9% of Viruses & Bacteria**,Reckitt Benckiser LLC,Parsippany,New Jersey,2009,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=777-126
DfE,Consumer Product,All-Purpose Cleaners,20066489793,,,Krud Kutter One Step Cleaner & Disinfectant Wipes,Rust-Oleum Corporation,Vernon Hills,Illinois,2007,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-75082
DfE,Consumer Product,All-Purpose Cleaners,44600601953,,,Clorox Plant-Based Disinfecting Wipes,Clorox Company,Oakland,California,2007,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-5813
DfE,Consumer Product,All-Purpose Cleaners,44600601960,,,Clorox Plant-Based Disinfecting Wipes,Clorox Company,Oakland,California,2007,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-5813
DfE,Consumer Product,All-Purpose Cleaners,79893200057,,,Open Nature Disinfecting All Purpose Cleaner,Albertsons Companies,Boise,Idaho,2012,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=88472-1-89054
DfE,Consumer Product,All-Purpose Cleaners,7.00427E+11,,,GE Fight Bac RTU,Betco Corporation,Bowling Green,Ohio,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35-4170
DfE,Consumer Product,All-Purpose Cleaners,7.00427E+11,,,GE Fight Bac RTU,Betco Corporation,Bowling Green,Ohio,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35-4170
DfE,Consumer Product,All-Purpose Cleaners,7.00427E+11,,,GE Fight Bac RTU,Betco Corporation,Bowling Green,Ohio,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35-4170
DfE,Consumer Product,All-Purpose Cleaners,7.00427E+11,,,GE Fight Bac RTU,Betco Corporation,Bowling Green,Ohio,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35-4170
DfE,Consumer Product,All-Purpose Cleaners,7.00427E+11,,,GE Fight Bac RTU,Betco Corporation,Bowling Green,Ohio,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35-4170
DfE,Consumer Product,All-Purpose Cleaners,7.00427E+11,,,GE Fight Bac RTU,Betco Corporation,Bowling Green,Ohio,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35-4170
DfE,Consumer Product,All-Purpose Cleaners,7.03074E+11,,,Lemi Shine Disinfecting Wipes,AlEn USA,Houston,Texas,2017,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-92388
DfE,Consumer Product,All-Purpose Cleaners,7.03074E+11,,,Lemi Shine Disinfecting Wipes,AlEn USA,Houston,Texas,2017,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-92388
DfE,Consumer Product,All-Purpose Cleaners,7.32913E+11,,,Disinfecting Hydrogen Peroxide Cleaner - Fragrance Free,Seventh Generation,Burlington,Vermont,2009,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=85837-5-86066
DfE,Consumer Product,All-Purpose Cleaners,8.19432E+11,,,OxiGenesis,"EnvirOx, LLC",Danville,Illinois,2022,TRUE,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=69268-4
DfE,Consumer Product,All-Purpose Cleaners,8.4356E+11,,,Earth Rescue Disinfectant All Purpose Cleaner,"ICB-PTY, Ltd.",Irvine,California,2010,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=88472-1
DfE,Consumer Product,All-Purpose Cleaners,8.95559E+11,,,CleanCide,"Wexford Labs, Inc.",Kirkwood,Missouri,2011,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35
DfE,Consumer Product,All-Purpose Cleaners,,7.32913E+11,,Disinfecting Hydrogen Peroxide Cleaner - Fragrance Free,Seventh Generation,Burlington,Vermont,2009,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=85837-5-86066
DfE,Consumer Product,All-Purpose Cleaners,,1.00201E+13,,Krud Kutter One Step Cleaner & Disinfectant Wipes,Rust-Oleum Corporation,Vernon Hills,Illinois,2007,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-75082
DfE,Consumer Product,All-Purpose Cleaners,,1.00446E+13,,Clorox Plant-Based Disinfecting Wipes,Clorox Company,Oakland,California,2007,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-5813
DfE,Consumer Product,All-Purpose Cleaners,,1.00446E+13,,Clorox Plant-Based Disinfecting Wipes,Clorox Company,Oakland,California,2007,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-5813
DfE,Consumer Product,All-Purpose Cleaners,,,,All-Purpose Disinfectant Spray,Innovasource,Huntersville,North Carolina,2023,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=85837-5
DfE,Consumer Product,All-Purpose Cleaners,,,,"ECOS Multi-Purpose Disinfectant & Sanitizer, fresh citrus",Radienz Living,,,2017,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-35-82206
DfE,Consumer Product,All-Purpose Cleaners,,,,"ECOS Multi-Purpose Disinfectant Wipes, fresh citrus",Radienz Living,,,2017,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37-82206
DfE,Consumer Product,All-Purpose Cleaners,,,,Lysol Brand Everyday Multi-Surface Disinfectant Fragrance Free,Reckitt Benckiser LLC,Parsippany,New Jersey,2009,TRUE,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=777-111
DfE,Consumer Product,All-Purpose Cleaners,,,,Lysol Brand Everyday Multi-Surface Disinfectant Lemon & Lime Blossom,Reckitt Benckiser LLC,Parsippany,New Jersey,2009,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=777-111
DfE,Consumer Product,All-Purpose Cleaners,,,,Lysol Brand Kills 99.9% of Viruses & Bacteria** Power & Free Multi-Purpose Cleaner with Hydrogen Peroxide Fragrance Free,Reckitt Benckiser LLC,Parsippany,New Jersey,2009,TRUE,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=777-126
DfE,Consumer Product,All-Purpose Cleaners,,,,NUGEN Citric-Guard Plus 6,Arxada,Allendale,New Jersey,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=6836-514
DfE,Consumer Product,All-Purpose Cleaners,,,,NUGEN Citric-Guard Wipes,Arxada,Allendale,New Jersey,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=6836-455
DfE,Consumer Product,All-Purpose Cleaners,,,,NUGEN EHP RTU,Arxada,Allendale,New Jersey,2020,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=6836-385
DfE,Consumer Product,All-Purpose Cleaners,,,,PROXI® HOME General Disinfectant Cleaner Spray,Innovasource,Huntersville,North Carolina,2023,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=85837-4
DfE,Consumer Product,All-Purpose Cleaners,,,,Purefexion Wipes,"Wexford Labs, Inc.",Kirkwood,Missouri,2011,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37
DfE,Consumer Product,All-Purpose Cleaners,,,,Wexford Disinfectant Wipes,"Wexford Labs, Inc.",Kirkwood,Missouri,2011,,,TRUE,https://www.epa.gov/pesticide-labels/dfe-certified-disinfectants#search=34810-37
